County,Region,Year,Race,Age 65 Plus,Total
Pitt,Eastern North Carolina,2025.0,American Indian / Alaska Native,170.0,1426.0
,,,,,
"35.50""",Projection,,,,
Jones,Eastern North Carolina,2025.0,White,1643.0,6215.0
,,,,,
"[""",Projection,,,,
Nash,Eastern North Carolina,2025.0,Black,6151.0,39821.0
,,,,,
"3""",Projection,,,,
Surry,Western North Carolina,2025.0,Black,562.0,2856.0
Wayne,Eastern North Carolina,2025.0,Asian & Pacific Islander,406.0,1940.0
Durham,Central North Carolina,2025.0,White,31695.0,186641.0
Edgecombe,Eastern North Carolina,2025.0,American Indian / Alaska Native,48.0,314.0
,,,,,
"35.86""",Projection,,,,
Scotland,Eastern North Carolina,2025.0,White,3505.0,14288.0
,,,,,
Projection,2024,,,,
Vance,Central North Carolina,2025.0,White,4701.0,18071.0
Bertie,Eastern North Carolina,2025.0,White,2087.0,5839.0
,,,,,
"[""",Projection,,,,
Jackson,Western North Carolina,2025.0,American Indian / Alaska Native,600.0,4337.0
,,,,,
"35.172""",Projection,,,,
Alexander,Western North Carolina,2025.0,White,7177.0,32356.0
Anson,Central North Carolina,2025.0,Other,107.0,1019.0
Carteret,Eastern North Carolina,2025.0,American Indian / Alaska Native,119.0,477.0
Davidson,Central North Carolina,2025.0,White,30803.0,148766.0
Cumberland,Eastern North Carolina,2025.0,Other,665.0,23482.0
,,,,,
"[-78.""",Projection,,,,
Catawba,Western North Carolina,2025.0,Black,2091.0,14343.0
Orange,Central North Carolina,2025.0,Other,312.0,7938.0
Edgecombe,Eastern North Carolina,2025.0,Other,111.0,1574.0
,,,,,
"35.86""",Projection,,,,
Mecklenburg,Central North Carolina,2025.0,White,106770.0,685460.0
Duplin,Eastern North Carolina,2025.0,Black,2712.0,12204.0
Forsyth,Central North Carolina,2025.0,Black,14503.0,100960.0
Northampton,Eastern North Carolina,2025.0,Black,1987.0,8645.0
,,,,,
Projection,2024,,,,
Caldwell,Western North Carolina,2025.0,Other,676.0,4074.0
Avery,Western North Carolina,2025.0,Other,110.0,817.0
Franklin,Central North Carolina,2025.0,White,11557.0,58690.0
,,,,,
"36.136""",Projection,,,,
Person,Central North Carolina,2025.0,Other,361.0,2025.0
Gaston,Western North Carolina,2025.0,White,33473.0,178722.0
Polk,Western North Carolina,2025.0,Black,174.0,689.0
Robeson,Eastern North Carolina,2025.0,Black,4723.0,26448.0
,,,,,
Projection,2024,,,,
Cleveland,Western North Carolina,2025.0,Asian & Pacific Islander,214.0,972.0
Craven,Eastern North Carolina,2025.0,American Indian / Alaska Native,102.0,700.0
,,,,,
"3""",Projection,,,,
Henderson,Western North Carolina,2025.0,Other,844.0,4908.0
,,,,,
"[""",Projection,,,,
Durham,Central North Carolina,2025.0,Black,19902.0,117447.0
Union,Central North Carolina,2025.0,Asian & Pacific Islander,1590.0,14575.0
Lincoln,Western North Carolina,2025.0,American Indian / Alaska Native,157.0,809.0
Nash,Eastern North Carolina,2025.0,White,13334.0,53677.0
,,,,,
"3""",Projection,,,,
Davie,Central North Carolina,2025.0,Other,306.0,2100.0
New Hanover,Eastern North Carolina,2025.0,American Indian / Alaska Native,302.0,1775.0
Pamlico,Eastern North Carolina,2025.0,Other,147.0,780.0
Edgecombe,Eastern North Carolina,2025.0,Black,5800.0,27360.0
,,,,,
"35.86""",Projection,,,,
Pender,Eastern North Carolina,2025.0,Asian & Pacific Islander,87.0,568.0
,,,,,
Projection,2024,,,,
Lee,Central North Carolina,2025.0,Black,1906.0,12194.0
Gates,Eastern North Carolina,2025.0,Other,109.0,618.0
Perquimans,Eastern North Carolina,2025.0,Black,537.0,2621.0
Davie,Central North Carolina,2025.0,Black,399.0,2662.0
Chatham,Central North Carolina,2025.0,Black,2114.0,8514.0
Harnett,Eastern North Carolina,2025.0,Asian & Pacific Islander,301.0,2449.0
,,,,,
"[-79.""",Projection,,,,
Pasquotank,Eastern North Carolina,2025.0,Asian & Pacific Islander,109.0,548.0
,,,,,
Projection,2024,,,,
Lee,Central North Carolina,2025.0,Asian & Pacific Islander,194.0,1072.0
Robeson,Eastern North Carolina,2025.0,Other,0.0,5291.0
,,,,,
Projection,2024,,,,
Stanly,Central North Carolina,2025.0,Other,573.0,3164.0
Moore,Central North Carolina,2025.0,Black,1482.0,11318.0
,,,,,
Projection,2024,,,,
Transylvania,Western North Carolina,2025.0,White,10635.0,30500.0
,,,,,
"35.153""",Projection,,,,
Haywood,Western North Carolina,2025.0,Black,226.0,821.0
,,,,,
Projection,2024,,,,
Tyrrell,Eastern North Carolina,2025.0,Black,253.0,1106.0
Perquimans,Eastern North Carolina,2025.0,Other,215.0,863.0
Hoke,Eastern North Carolina,2025.0,Other,228.0,4280.0
,,,,,
Projection,2024,,,,
Lincoln,Western North Carolina,2025.0,Other,632.0,4395.0
McDowell,Western North Carolina,2025.0,American Indian / Alaska Native,51.0,377.0
,,,,,
"35.692""",Projection,,,,
Craven,Eastern North Carolina,2025.0,Black,4522.0,20542.0
,,,,,
"3""",Projection,,,,
Cabarrus,Central North Carolina,2025.0,Other,704.0,12520.0
Montgomery,Central North Carolina,2025.0,Asian & Pacific Islander,54.0,492.0
Carteret,Eastern North Carolina,2025.0,Other,527.0,3021.0
Carteret,Eastern North Carolina,2025.0,White,20008.0,63774.0
Pender,Eastern North Carolina,2025.0,American Indian / Alaska Native,89.0,696.0
,,,,,
Projection,2024,,,,
Columbus,Eastern North Carolina,2025.0,White,7397.0,33719.0
,,,,,
Projection,2024,,,,
Craven,Eastern North Carolina,2025.0,White,16027.0,72722.0
,,,,,
"3""",Projection,,,,
Duplin,Eastern North Carolina,2025.0,American Indian / Alaska Native,223.0,1196.0
Bertie,Eastern North Carolina,2025.0,Black,2071.0,10049.0
,,,,,
"[""",Projection,,,,
Rowan,Central North Carolina,2025.0,Asian & Pacific Islander,288.0,2015.0
Cleveland,Western North Carolina,2025.0,White,16238.0,74715.0
Montgomery,Central North Carolina,2025.0,Black,807.0,4198.0
Transylvania,Western North Carolina,2025.0,Other,481.0,1782.0
,,,,,
"35.153""",Projection,,,,
Nash,Eastern North Carolina,2025.0,American Indian / Alaska Native,197.0,1174.0
,,,,,
"3""",Projection,,,,
Transylvania,Western North Carolina,2025.0,Asian & Pacific Islander,68.0,263.0
,,,,,
"35.153""",Projection,,,,
Granville,Central North Carolina,2025.0,White,8198.0,39573.0
Davidson,Central North Carolina,2025.0,American Indian / Alaska Native,307.0,1816.0
Wake,Central North Carolina,2025.0,Other,1160.0,53672.0
Swain,Western North Carolina,2025.0,White,2228.0,8702.0
,,,,,
"[-8""",Projection,,,,
Union,Central North Carolina,2025.0,White,31692.0,211753.0
Washington,Eastern North Carolina,2025.0,Black,1180.0,5026.0
Washington,Eastern North Carolina,2025.0,Other,39.0,345.0
Chatham,Central North Carolina,2025.0,Asian & Pacific Islander,726.0,2448.0
Clay,Western North Carolina,2025.0,White,3869.0,11426.0
,,,,,
"[-83.5""",Projection,,,,
Rowan,Central North Carolina,2025.0,American Indian / Alaska Native,412.0,1975.0
Davidson,Central North Carolina,2025.0,Other,895.0,8056.0
Tyrrell,Eastern North Carolina,2025.0,White,630.0,2198.0
Wake,Central North Carolina,2025.0,Black,26895.0,220648.0
Hoke,Eastern North Carolina,2025.0,Asian & Pacific Islander,157.0,1281.0
,,,,,
Projection,2024,,,,
Onslow,Eastern North Carolina,2025.0,Black,3678.0,29713.0
,,,,,
Projection,2024,,,,
Hyde,Eastern North Carolina,2025.0,White,939.0,3255.0
,,,,,
"35.6""",Projection,,,,
McDowell,Western North Carolina,2025.0,Other,366.0,1949.0
,,,,,
"35.692""",Projection,,,,
Surry,Western North Carolina,2025.0,Asian & Pacific Islander,58.0,506.0
Pasquotank,Eastern North Carolina,2025.0,American Indian / Alaska Native,44.0,335.0
,,,,,
Projection,2024,,,,
Halifax,Eastern North Carolina,2025.0,White,5056.0,19202.0
,,,,,
Projection,2024,,,,
McDowell,Western North Carolina,2025.0,White,9254.0,40067.0
,,,,,
"35.692""",Projection,,,,
Bladen,Eastern North Carolina,2025.0,American Indian / Alaska Native,166.0,975.0
,,,,,
Projection,2024,,,,
Pamlico,Eastern North Carolina,2025.0,Black,499.0,2017.0
