2020_Score,2022_Score,2023_Score,2024_Score,2025_Score
60.07030303030303,60.62571428571429,60.853529411764704,63.30090909090909,63.595
61.700476190476195,61.906666666666666,61.739152542372885,63.388474576271186,63.744067796610175
65.83459459459459,67.1000925925926,67.0596261682243,67.37761904761905,66.90171428571429
66.30474226804124,67.1199,67.05857868020306,67.4165,67.59837209302326
63.85411764705882,65.18477777777778,65.1519540229885,65.97554945054945,65.53445054945055
65.1841095890411,65.86416309012876,65.72266375545851,65.9920253164557,65.71308333333333
65.8018918918919,66.44554054054055,66.53763888888889,67.75140845070423,67.56573333333334
67.69666666666667,67.85000000000001,67.98684210526316,69.58558139534884,69.59232558139534
69.71763636363636,69.68768518518517,69.86009708737865,70.46067961165048,70.17563106796116
74.86258064516129,75.64689655172414,75.8325,76.57592592592593,76.3676
