Region,Age 65 Plus 2023,Age 65 Plus 2024,Age 65 Plus 2025,Pct growth 65 plus
Central North Carolina,22238064.0,23070716.0,23902441.0,7.4843610486956065
Eastern North Carolina,12629311.0,13055185.0,13465703.0,6.622625731522487
Western North Carolina,10346476.0,10551325.0,10746841.0,3.8695783955812586
