CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,I_006_01_SIR,1.049,,7/1/2020,6/30/2021,
NATION,I_008_02_OBS_RATE,99.9,,10/1/2020,9/30/2021,
NATION,I_009_04_OBS_RATE,12.9,,10/1/2020,9/30/2021,
NATION,I_010_04_OBS_RATE,31,,10/1/2020,9/30/2021,
NATION,I_011_04_OBS_RATE,58.9,,10/1/2020,9/30/2021,
NATION,I_012_04_OBS_RATE,57.1,,10/1/2020,9/30/2021,
NATION,I_013_01_OBS_RATE,0.1,,10/1/2020,9/30/2021,
NATION,I_015_01_SIR,0.495,,7/1/2020,6/30/2021,
NATION,I_016_01_OBS_RATE,88.3,,10/1/2018,3/31/2019,
NATION,I_017_01_PPR_PD_N_BETTER_NAT,4,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_NO_DIFF_NAT,"1,095",,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_TOO_SMALL,36,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_N_WORSE_NAT,16,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_017_01_PPR_PD_OBS,6.76,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_BETTER_NAT,7,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_NO_DIFF_NAT,"1,094",,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_TOO_SMALL,25,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_N_WORSE_NAT,25,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_018_01_PPR_WI_NATL_OBS_RATE,4.24,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_BETTER_NAT,116,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_NO_DIFF_NAT,877,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_TOO_SMALL,40,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_N_WORSE_NAT,117,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_019_02_DTC_OBS_RATE,66.21,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_020_01_MSPB_SCORE,1,,7/1/2019,6/30/2021,07/01/2019 - 12/31/2019; 07/01/2020 - 06/30/2021
NATION,I_021_01_OBS_RATE,97.5,,10/1/2020,9/30/2021,
NATION,I_022_01_OBS_RATE,1.2,,10/1/2020,9/30/2021,
