County,Region,Year,Race,Age 65 Plus,Total
Chatham,Central North Carolina,2025,Black,2114,8514
Harnett,Eastern North Carolina,2025,Asian & Pacific Islander,301,2449
Pasquotank,Eastern North Carolina,2025,Asian & Pacific Islander,109,548
Lee,Central North Carolina,2025,Asian & Pacific Islander,194,1072
Robeson,Eastern North Carolina,2025,Other,0,5291
Stanly,Central North Carolina,2025,Other,573,3164
Moore,Central North Carolina,2025,Black,1482,11318
Transylvania,Western North Carolina,2025,White,10635,30500
Haywood,Western North Carolina,2025,Black,226,821
Tyrrell,Eastern North Carolina,2025,Black,253,1106
Perquimans,Eastern North Carolina,2025,Other,215,863
Hoke,Eastern North Carolina,2025,Other,228,4280
Lincoln,Western North Carolina,2025,Other,632,4395
McDowell,Western North Carolina,2025,American Indian / Alaska Native,51,377
Craven,Eastern North Carolina,2025,Black,4522,20542
Cabarrus,Central North Carolina,2025,Other,704,12520
Montgomery,Central North Carolina,2025,Asian & Pacific Islander,54,492
Carteret,Eastern North Carolina,2025,Other,527,3021
Carteret,Eastern North Carolina,2025,White,20008,63774
Pender,Eastern North Carolina,2025,American Indian / Alaska Native,89,696
Columbus,Eastern North Carolina,2025,White,7397,33719
Craven,Eastern North Carolina,2025,White,16027,72722
Duplin,Eastern North Carolina,2025,American Indian / Alaska Native,223,1196
Bertie,Eastern North Carolina,2025,Black,2071,10049
Rowan,Central North Carolina,2025,Asian & Pacific Islander,288,2015
Cleveland,Western North Carolina,2025,White,16238,74715
Montgomery,Central North Carolina,2025,Black,807,4198
Transylvania,Western North Carolina,2025,Other,481,1782
Nash,Eastern North Carolina,2025,American Indian / Alaska Native,197,1174
Transylvania,Western North Carolina,2025,Asian & Pacific Islander,68,263
Granville,Central North Carolina,2025,White,8198,39573
Davidson,Central North Carolina,2025,American Indian / Alaska Native,307,1816
Wake,Central North Carolina,2025,Other,1160,53672
Swain,Western North Carolina,2025,White,2228,8702
Union,Central North Carolina,2025,White,31692,211753
Washington,Eastern North Carolina,2025,Black,1180,5026
Washington,Eastern North Carolina,2025,Other,39,345
Chatham,Central North Carolina,2025,Asian & Pacific Islander,726,2448
Clay,Western North Carolina,2025,White,3869,11426
Rowan,Central North Carolina,2025,American Indian / Alaska Native,412,1975
Davidson,Central North Carolina,2025,Other,895,8056
Tyrrell,Eastern North Carolina,2025,White,630,2198
Wake,Central North Carolina,2025,Black,26895,220648
Hoke,Eastern North Carolina,2025,Asian & Pacific Islander,157,1281
Onslow,Eastern North Carolina,2025,Black,3678,29713
Hyde,Eastern North Carolina,2025,White,939,3255
McDowell,Western North Carolina,2025,Other,366,1949
Surry,Western North Carolina,2025,Asian & Pacific Islander,58,506
Pasquotank,Eastern North Carolina,2025,American Indian / Alaska Native,44,335
Halifax,Eastern North Carolina,2025,White,5056,19202
McDowell,Western North Carolina,2025,White,9254,40067
Bladen,Eastern North Carolina,2025,American Indian / Alaska Native,166,975
Pamlico,Eastern North Carolina,2025,Black,499,2017
Durham,Central North Carolina,2025,American Indian / Alaska Native,357,5899
Wayne,Eastern North Carolina,2025,Other,253,5472
Duplin,Eastern North Carolina,2025,Other,0,1578
Wilson,Eastern North Carolina,2025,American Indian / Alaska Native,343,1604
Macon,Western North Carolina,2025,Asian & Pacific Islander,88,357
Randolph,Central North Carolina,2025,American Indian / Alaska Native,316,2111
Cumberland,Eastern North Carolina,2025,Black,18302,133978
Rutherford,Western North Carolina,2025,White,13356,55534
Greene,Eastern North Carolina,2025,Other,18,691
Moore,Central North Carolina,2025,Other,1299,5565
Dare,Eastern North Carolina,2025,American Indian / Alaska Native,76,315
Chowan,Eastern North Carolina,2025,Black,1031,4278
Davidson,Central North Carolina,2025,Asian & Pacific Islander,482,3109
Transylvania,Western North Carolina,2025,Black,94,1036
Currituck,Eastern North Carolina,2025,Asian & Pacific Islander,66,406
Forsyth,Central North Carolina,2025,White,54969,261915
Robeson,Eastern North Carolina,2025,Asian & Pacific Islander,100,1342
Franklin,Central North Carolina,2025,American Indian / Alaska Native,169,1003
McDowell,Western North Carolina,2025,Black,383,1913
Henderson,Western North Carolina,2025,American Indian / Alaska Native,395,1392
Onslow,Eastern North Carolina,2025,American Indian / Alaska Native,242,2733
Cabarrus,Central North Carolina,2025,Asian & Pacific Islander,1429,18462
Iredell,Western North Carolina,2025,White,32231,168310
Beaufort,Eastern North Carolina,2025,American Indian / Alaska Native,0,265
Guilford,Central North Carolina,2025,White,65168,302146
Rockingham,Central North Carolina,2025,Asian & Pacific Islander,133,641
Randolph,Central North Carolina,2025,Asian & Pacific Islander,502,2928
Lenoir,Eastern North Carolina,2025,Asian & Pacific Islander,73,450
McDowell,Western North Carolina,2025,Asian & Pacific Islander,47,433
Watauga,Western North Carolina,2025,Other,236,2544
Rowan,Central North Carolina,2025,White,23768,117605
New Hanover,Eastern North Carolina,2025,Black,4616,29072
Rowan,Central North Carolina,2025,Other,1272,7545
Graham,Western North Carolina,2025,Other,41,433
Lincoln,Western North Carolina,2025,White,18417,87676
Jackson,Western North Carolina,2025,Black,218,1207
Gaston,Western North Carolina,2025,Asian & Pacific Islander,692,4720
Guilford,Central North Carolina,2025,Asian & Pacific Islander,3660,34781
Harnett,Eastern North Carolina,2025,Other,631,8664
Onslow,Eastern North Carolina,2025,White,17390,163524
Onslow,Eastern North Carolina,2025,Other,441,15507
Orange,Central North Carolina,2025,American Indian / Alaska Native,160,1709
Perquimans,Eastern North Carolina,2025,White,3221,10050
