County/Parish,Score_2023,Score_2024,Score_2025
Buncombe,0.2,0.1,0.1
Catawba,0.0,0.65,0.0
Craven,0.0,0.5,0.0
Cumberland,0.0,0.2,0.2
Durham,0.0,0.0,0.0
Forsyth,0.25,0.15,0.35
Guilford,0.0,0.1,0.0
Lenoir,0.0,0.0,0.5
Mecklenburg,0.1,0.0,0.16666666666666666
Moore,0.0,0.0,0.5
Nash,0.0,0.0,0.3
New Hanover,0.2,0.0,0.2
Orange,0.3,0.0,0.2
Pitt,0.0,0.0,0.4
Rowan,0.0,0.0,0.0
Vance,0.0,0.0,0.0
Wake,0.0,0.0,0.0
