County,Pct IRF Age 2023,Pct IRF Age 2024,Pct IRF Age 2025,Pct Growth
Wake,12.016403046280024,12.387888275101146,12.75976104203881,6.186193929213384
Mecklenburg,11.279350317682125,11.631584433369461,11.957178378919615,6.009460138629522
Durham,13.59769675297913,13.995955112907534,14.347597604136725,5.51491083218412
Orange,14.962263025716805,15.37048095916211,15.716402776694485,5.040278664273457
Rowan,16.691374221056083,17.058727834716123,17.46542942678296,4.637456421954828
Forsyth,15.614839389205773,15.96270952509751,16.300315736106857,4.3899032824823
Cumberland,12.075036245820634,12.33567377082649,12.596013870971559,4.3145015430594995
Pitt,13.560814907173333,13.880252160766752,14.1361197081121,4.242405820570894
Guilford,14.619903235538947,14.921294685746526,15.16727298666096,3.7440039260412665
Buncombe,19.642154580269775,20.016640955319392,20.357925234965727,3.6440536692188124
Catawba,17.207995378950155,17.463925500580167,17.718546593062538,2.966941836449579
Nash,18.133576000490788,18.38163662932294,18.62467360950086,2.7082226307529242
Lenoir,19.47151910462143,19.759170062986293,19.980737887094385,2.6151980219771187
Craven,18.79349452246513,19.095136601433833,19.257753907195045,2.4703196320139043
Moore,21.328376336210493,21.56804171305977,21.77144379328716,2.077361399163061
Vance,18.1518551729152,18.368089233753636,18.447284809973077,1.627545142045275
